"Occupation, 1950 basis",Single words
Dyers,tradesperson
Bakers,baker
Inmate,
Sawyers,lumberjack
Retired,retired
Porters,porter
Authors,author
Cashiers,cashier
Newsboys,newsperson
Chemists,"scientist, chemist"
Dentists,dentist
Glaziers,tradesperson
Furriers,tradesperson
Athletes,athlete
Midwives,midwife
Draftsmen,"architect, draftsperson"
Designers,designer
Clergymen,clergy
Teamsters,teamster
Surveyors,surveyor
Milliners,"milliner, salesperson, tradesperson"
Carpenters,carpenter
Machinists,machinist
Bartenders,bartender
Librarians,librarian
Economists,economist
Architects,architect
Credit men,
Plasterers,"plasterer, tradesperson"
Physicists,"scientist, physicist"
Bootblacks,bootblack
Osteopaths,osteopath
N/A (blank),
Bookkeepers,librarian
Bus drivers,driver
Blacksmiths,"blacksmith, tradesperson"
Pharmacists,pharmacist
Millwrights,"millwright, tradesperson"
Bookbinders,"bookbinder, tradesperson"
Postmasters,"postmaster, mailperson"
Loom fixers,tradesperson
Auctioneers,auctioneer
Electricians,"electrician, tradesperson"
Bank tellers,bankteller
Agents (nec),
Upholsterers,upholsterer
Farm foremen,farmer
Boilermakers,boilermaker
Optometrists,optometrist
Paperhangers,paperhanger
Foremen (nec),
Mail carriers,mailperson
Farm managers,"manager, farmer"
Photographers,photographer
Psychologists,psychologist
Demonstrators,salesperson
Cabinetmakers,"cabinetmaker, tradesperson"
Chiropractors,chiropractor
Veterinarians,veterinarian
Laborers (nec),laborer
"Molders, metal","tradesperson, molder"
"Heaters, metal",tradesperson
Mathematicians,mathematician
Engineers (nec),engineer
Civil-Engineers,engineer
Radio operators,operator
Practical nurses,nurse
Inspectors (nec),inspector
"Weavers, textile","weaver, tradesperson"
Mining-Engineers,engineer
Teachers (n.e.c.),teacher
At school/student,student
Technicians (nec),technician
Religious workers,clergy
"Spinners, textile",tradesperson
Lawyers and judges,"lawyer, judge"
Stationary firemen,fireperson
"Job setters, metal",tradesperson
Entertainers (nec),entertainer
"Brakemen, railroad",operator
Chemical-Engineers,engineer
Locomotive firemen,
Elevator operators,operator
Telephone operators,operator
Testing-technicians,technician
Roofers and slaters,tradesperson
"Switchmen, railroad",operator
Telegraph operators,operator
Other non-occupation,
"Nurses, professional",nurse
Janitors and sextons,janitor
Industrial-Engineers,engineer
Electrical-Engineers,engineer
Stationary engineers,engineer
Mechanical-Engineers,engineer
Locomotive engineers,engineer
"Conductors, railroad",conductor
Actors and actresses,entertainer
Telegraph messengers,operator
Editors and reporters,newsperson
Biological scientists,scientist
Sheriffs and bailiffs,"police, sheriff, bailiff"
Carpenters apprentice,tradesperson
Waiters and waitresses,waitstaff
Charwomen and cleaners,janitor
Hucksters and peddlers,"huckster, peddler"
Aeronautical-Engineers,engineer
Sailors and deck hands,sailor
Misc social scientists,scientist
Forgemen and hammermen,tradesperson
Blasters and powdermen,tradesperson
Physicians and surgeons,"doctor, physician, surgeon"
Stock and bond salesmen,"sales, salesperson"
Tailors and tailoresses,tailor
Fishermen and oystermen,
Power station operators,operator
Electricians apprentice,tradesperson
Agricultural scientists,scientist
Marshals and constables,"police, constable"
Accountants and auditors,accountant
Deliverymen and routemen,mailperson
Office machine operators,operator
Policemen and detectives,police
"Firemen, fire protection",fireperson
Structural metal workers,tradesperson
Misc. natural scientists,scientist
Artists and art teachers,artist
Truck and tractor drivers,driver
Welders and flame cutters,"tradesperson, welder"
Plumbers and pipe fitters,"plumber, tradesperson"
Auto mechanics apprentice,"mechanic, tradesperson"
Gentleman/lady/at leisure,
Occupation missing/unknown,
Messengers and office boys,mailperson
"Baggagemen, transportation",laborer
"Farm laborers, wage workers",laborer
Compositors and typesetters,"compositor, typesetter"
Longshoremen and stevedores,laborer
Statisticians and actuaries,"statistician, accountant"
Farmers (owners and tenants),farmer
Musicians and music teachers,musician
Insurance agents and brokers,broker
"Buyers and dept heads, store",salesperson
Mine operatives and laborers,laborer
Therapists and healers (nec),therapist
Counter and fountain workers,
Recreation and group workers,
"Collectors, bill and account",
Dietitians and nutritionists,"dietitian, nutritionist"
Photographic process workers,
Geologists and geophysicists,"scientist, geologist"
"Nurses, student professional",nurse
College presidents and deans,professor
Dancers and dancing teachers,dancer
"Apprentices, printing trades",tradesperson
Members of the armed services,soldier
Mechanics and repairmen (nec),mechanic
Shipping and receiving clerks,clerk
Cement and concrete finishers,laborer
"Rollers and roll hands, metal",laborer
Motion picture projectionists,
Unemployed/without occupation,unemployed
Medical and dental-technicians,technician
Real estate agents and brokers,broker
Taxicab drivers and chauffeurs,driver
Airplane pilots and navigators,pilot
Decorators and window dressers,
Foresters and conservationists,conservationist
Electrotypers and stereotypers,"stereotyper, eletrotyper"
Salesmen and sales clerks (nec),sales
Private household workers (nec),housekeeper
"Cooks, except private household",cook
"Laundressses, private household",housekeeper
"Housekeepers, private household",housekeeper
Advertising agents and salesmen,salesperson
"Oilers and greaser, except auto",
Asbestos and insulation workers,
Funeral directors and embalmers,
Stone cutters and stone carvers,tradesperson
Airplane-mechanics and repairmen,"mechanic, tradesperson"
Sports instructors and officials,athlete
Photoengravers and lithographers,
"Ushers, recreation and amusement",
"Millers, grain, flour, feed, etc",
"Engravers, except photoengravers",tradesperson
"Apprentices, trade not specified",tradesperson
"Guards, watchmen, and doorkeepers","guard, doorkeeper"
Imputed keeping house (1850-1900),housekeeper
"Cranemen,derrickmen, and hoistmen",
"Inspectors, public administration","administrator, inspector"
"Dispatchers and starters, vehicle",
Farm and home management advisors,
"Mechanics, except auto apprentice","mechanic, tradesperson"
Bricklayers and masons apprentice,tradesperson
Automobile-mechanics and repairmen,"mechanic, tradesperson"
Purchasing agents and buyers (nec),
"Attendants and assistants, library","attendant, librarian"
"Furnacemen, smeltermen and pourers",
Boarding and lodging house keepers,housekeeper
"Conductors, bus and street railway","driver, conductor"
"Buyers and shippers, farm products",
Physics-Professors and instructors,"professor, instructor"
"Apprentices, building trades (nec)",tradesperson
"Floormen and floor managers, store",
Operative and kindred workers (nec),mechanic
Craftsmen and kindred workers (nec),"craftsperson, tradesperson"
Laundry and dry cleaning Operatives,
"Ticket, station, and express agents",
"Heat treaters, annealers, temperers",
"Boatmen, canalmen, and lock keepers",
"Apprentices, other specified trades",tradesperson
"Farm laborers, unpaid family workers",laborer
"Attendants, auto service and parking",attendant
"Attendants, recreation and amusement",attendant
Machinists and toolmakers apprentice,tradesperson
Plumbers and pipe fitters apprentice,tradesperson
Chemistry-Professors and instructors,"professor, instructor"
Economics-Professors and instructors,"professor, instructor"
Piano and organ tuners and repairmen,
"Farm service laborers, self-employed",laborer
Clerical and kindred workers (n.e.c.),clerical
"Barbers, beauticians, and manicurists",
Personnel and labor relations workers,
"Pressmen and plate printers, printing",
"Lumbermen, raftsmen, and woodchoppers",
Psychology-Professors and instructors,"professor, instructor"
Statistics-Professors and instructors,"professor, instructor"
"Painters, construction and maintenance",
"Filers, grinders, and polishers, metal",
"Managers and superintendants, building",
Office machine-mechanics and repairmen,"mechanic, tradesperson"
"Officials, lodge, society, union, etc.",official
"Pattern and model makers, except paper",
Watchmen (crossing) and bridge tenders,
Mathematics-Professors and instructors,"professor, instructor"
"Metallurgical, metallurgists-Engineers",engineer
"Chainmen, rodmen, and axmen, surveying",
